the																	
be	am	m	is	isn	s	are	re	aren	ain	been	was	wasn	were	weren	being	bein	beings
and	ands																
of																	
to																	
in	ins																
have	haven	ve	has	hasn	had	hadn	d	having	hafta								
it	its																
you	y	ye	your	yours													
he	him	im	his														
for																	
they	them	em	their	theirs													
not	t																
that	those																
we	us	our	ours														
on																	
with																	
this	these																
do	does	don	doesn	did	didn	doing	done	doin									
as																	
at																	
she	her	hers															
but	buts																
from																	
by																	
will	wills	willed	willing	won	ll												
or																	
say	says	said	saying	sayings													
go	goes	went	going	gone	goin	gonna											
so																	
all																	
if	ifs																
one	ones																
would	wouldn																
about																	
can	cans	canned	canning	cannot													
which																	
there																	
know	knows	knew	knowing	known													
more																	
get	gets	got	getting	gotten	gettin	gotta											
who	whom	whose															
like	likes	liked	liking														
when																	
think	thinks	thought	thinking	thoughts													
make	makes	made	making														
time	times	timed	timing														
see	sees	saw	seeing	seen													
what																	
up	ups	upped	upping														
some																	
other	others																
out	outs	outed	outing	outings													
good	goodest																
people	peoples	peopled	peopling														
year	years																
take	takes	took	taking	taken													
no																	
well	wells	welled	welling														
because	cos																
very																	
just																	
come	comes	came	coming	cometh													
could	couldn	coulda															
work	works	worked	working	workings													
use	uses	used	using														
than																	
now																	
then																	
also																	
into																	
only																	
look	looks	looked	looking														
want	wants	wanted	wanting	wanna													
give	gives	gave	giving	given													
first	firsts																
new	newer	newest															
way	ways																
find	finds	finding	findings														
over	overs																
any																	
after																	
day	days																
where																	
thing	things																
most																	
should	shouldn	shoulda															
need	needs	needed	needing														
much																	
right	rights	righted	righting	righter													
how	hows																
back	backs	backed	backing														
mean	means	meaning	meant	meanings	meaner	meanest											
even	evens	evened															
may																	
here																	
many																	
such																	
last	lasts	lasted	lasting														
child	children																
tell	tells	told	telling														
really																	
call	calls	called	calling														
before																	
company	companies																
through																	
down	downs	downed	downing														
show	shows	showed	showing	shown													
life																	
man	mans	manned	manning	men													
change	changes	changed	changing														
place	places	placed	placing														
long	longs	longed	longing	longer	longest												
between																	
feel	feels	felt	feeling	feelings													
too																	
still	stills	stilled	stilling	stiller	stillest												
problem	problems																
write	writes	wrote	writing	written	writings												
same																	
lot	lots																
great	greater	greatest	greats														
try	tries	tried	trying														
leave	leaves	leaved	leaving	leavings													
number	numbers	numbered	numbering	numberings													
both																	
own	owns	owned	owning														
part	parts	parted	parting														
point	points	pointed	pointing														
little	littler	littlest															
help	helps	helped	helping	helpings													
ask	asks	asked	asking														
meet	meets	meeting	met	meetings													
start	starts	started	starting														
talk	talks	talked	talking														
something																	
put	puts	putted	putting														
another																	
become	becomes	became	becoming														
interest	interests	interested	interesting														
country	countries																
old	older	oldest	olds														
each																	
school	schools	schooled	schooling	schoolings													
late	later	latest															
high	higher	highest	highs														
different																	
off	offs	offed	offing														
next																	
end	ends	ended	ending														
live	lives	lived	living														
why																	
while	whiles	whiled	whiling														
